ISSN,Título,Estrato,quadrienio
0001-0782,COMMUNICATIONS OF THE ACM,A1,2021-2024
0001-1452,AIAA JOURNAL (PRINT),A2,2021-2024
0001-3765,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO),A3,2021-2024
0001-4966,THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,A2,2021-2024
0001-5342,ACTA BIOTHEORETICA,A4,2021-2024
0001-706X,ACTA TROPICA,A2,2021-2024
0001-8244,BEHAVIOR GENETICS,A2,2021-2024
0002-7863,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY (PRINT),A1,2021-2024
0002-9262,AMERICAN JOURNAL OF EPIDEMIOLOGY,A1,2021-2024
0002-9394,AMERICAN JOURNAL OF OPHTHALMOLOGY,A1,2021-2024
0002-953X,THE AMERICAN JOURNAL OF PSYCHIATRY,A1,2021-2024
0002-9890,THE AMERICAN MATHEMATICAL MONTHLY,B2,2021-2024
0002-9920,AMERICAN MATHEMATICAL SOCIETY. NOTICES,B2,2021-2024
0002-9939,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,A2,2021-2024
0003-2700,ANALYTICAL CHEMISTRY (WASHINGTON),A1,2021-2024
0003-2719,ANALYTICAL LETTERS,A3,2021-2024
0003-4347,ANNALES DES TELECOMMUNICATIONS,A3,2021-2024
0003-682X,APPLIED ACOUSTICS,A2,2021-2024
0003-6846,APPLIED ECONOMICS (PRINT),A1,2021-2024
0003-6870,APPLIED ERGONOMICS,A1,2021-2024
0003-6951,APPLIED PHYSICS LETTERS,A2,2021-2024
0003-9969,ARCHIVES OF ORAL BIOLOGY,A1,2021-2024
0003-9993,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION (PRINT),A1,2021-2024
0004-3702,ARTIFICIAL INTELLIGENCE,A1,2021-2024
0005-1098,AUTOMATICA (OXFORD),A1,2021-2024
0005-2736,BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES,A1,2021-2024
0006-2928,BIOCHEMICAL GENETICS,A3,2021-2024
0006-3398,BIOMEDICAL ENGINEERING,B2,2021-2024
0006-3495,BIOPHYSICAL JOURNAL (PRINT),A2,2021-2024
0006-8314,BOUNDARY - LAYER METEOROLOGY,A2,2021-2024
0007-070X,BRITISH FOOD JOURNAL (1966),A1,2021-2024
0007-1013,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY (PRINT),A1,2021-2024
0007-1102,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,A1,2021-2024
0007-1285,BRITISH JOURNAL OF RADIOLOGY,A3,2021-2024
0008-4034,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,A3,2021-2024
0008-6363,CARDIOVASCULAR RESEARCH,A1,2021-2024
0009-2673,BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,A3,2021-2024
0010-3616,COMMUNICATIONS IN MATHEMATICAL PHYSICS,A1,2021-2024
0010-4485,COMPUTER AIDED DESIGN,A3,2021-2024
0010-4620,COMPUTER JOURNAL (PRINT),A4,2021-2024
0010-4655,COMPUTER PHYSICS COMMUNICATIONS,A1,2021-2024
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,A1,2021-2024
0010-485X,COMPUTING,A1,2021-2024
0010-5236,CONCILIUM ENGLISH EDITION,A2,2021-2024
0012-1606,DEVELOPMENTAL BIOLOGY (PRINT),A4,2021-2024
0012-365X,DISCRETE MATHEMATICS,A2,2021-2024
0012-7353,DYNA (MEDELLÍN),B1,2021-2024
0012-8252,EARTH-SCIENCE REVIEWS,A1,2021-2024
0012-9658,"ECOLOGY (BROOKLYN, NEW YORK, N.Y.)",A1,2021-2024
0013-0915,PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY,A3,2021-2024
0013-4651,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,A2,2021-2024
0013-4686,ELECTROCHIMICA ACTA,A1,2021-2024
0013-5194,ELECTRONICS LETTERS,A4,2021-2024
0013-9351,"ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)",A1,2021-2024
0016-0032,JOURNAL OF THE FRANKLIN INSTITUTE,A2,2021-2024
0016-2361,FUEL (GUILDFORD),A1,2021-2024
0016-5085,"GASTROENTEROLOGY (NEW YORK, N.Y. 1943)",A1,2021-2024
0016-7312,GEOGRAPHICA HELVETICA,A2,2021-2024
0016-8025,GEOPHYSICAL PROSPECTING (PRINT),A2,2021-2024
0016-8033,GEOPHYSICS,A2,2021-2024
0017-5749,GUT (LONDON),A1,2021-2024
0017-9310,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,A1,2021-2024
0018-9162,COMPUTER MAGAZINE,A3,2021-2024
0018-926X,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION (PRINT),A1,2021-2024
0018-9286,IEEE TRANSACTIONS ON AUTOMATIC CONTROL (PRINT),A1,2021-2024
0018-9316,IEEE TRANSACTIONS ON BROADCASTING,A2,2021-2024
0018-9359,IEEE TRANSACTIONS ON EDUCATION,A2,2021-2024
0018-9383,IEEE TRANSACTIONS ON ELECTRON DEVICES,A1,2021-2024
0018-9391,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,A2,2021-2024
0018-9448,IEEE TRANSACTIONS ON INFORMATION THEORY,A1,2021-2024
0018-9456,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,A1,2021-2024
0018-9464,IEEE TRANSACTIONS ON MAGNETICS,A4,2021-2024
0018-9499,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,A2,2021-2024
0018-9529,IEEE TRANSACTIONS ON RELIABILITY,A1,2021-2024
0018-9545,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,A1,2021-2024
0019-0578,ISA TRANSACTIONS,A1,2021-2024
0020-0190,INFORMATION PROCESSING LETTERS (PRINT),B2,2021-2024
0020-0255,INFORMATION SCIENCES,A1,2021-2024
0020-1812,INSECTES SOCIAUX (PRINTED ED.),A3,2021-2024
0020-7179,INTERNATIONAL JOURNAL OF CONTROL (PRINT),A3,2021-2024
0020-739X,INTERNATIONAL JOURNAL OF MATHEMATICAL EDUCATION IN SCIENCE AND TECHNOLOGY,A2,2021-2024
0020-7543,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT),A1,2021-2024
0020-7683,INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,A1,2021-2024
0020-7721,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,A2,2021-2024
0021-7670,JOURNAL D'ANALYSE MATHÉMATIQUE (JERUSALEM),A2,2021-2024
0021-9010,JOURNAL OF APPLIED PSYCHOLOGY,A1,2021-2024
0021-9606,THE JOURNAL OF CHEMICAL PHYSICS,A2,2021-2024
0021-972X,THE JOURNAL OF CLINICAL ENDOCRINOLOGY AND METABOLISM,A1,2021-2024
0021-9738,THE JOURNAL OF CLINICAL INVESTIGATION,A1,2021-2024
0021-9991,JOURNAL OF COMPUTATIONAL PHYSICS (PRINT),A1,2021-2024
0022-0000,JOURNAL OF COMPUTER AND SYSTEM SCIENCES (PRINT),A3,2021-2024
0022-0302,JOURNAL OF DAIRY SCIENCE,A1,2021-2024
0022-0388,JOURNAL OF DEVELOPMENT STUDIES,A1,2021-2024
0022-0396,JOURNAL OF DIFFERENTIAL EQUATIONS (PRINT),A1,2021-2024
0022-0477,JOURNAL OF ECOLOGY (PRINT),A1,2021-2024
0022-1120,JOURNAL OF FLUID MECHANICS (PRINT),A1,2021-2024
0022-1694,JOURNAL OF HYDROLOGY (AMSTERDAM),A1,2021-2024
0022-247X,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS (PRINT),A2,2021-2024
0022-2488,JOURNAL OF MATHEMATICAL PHYSICS,A3,2021-2024
0022-2828,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,A1,2021-2024
0022-2836,JOURNAL OF MOLECULAR BIOLOGY,A1,2021-2024
0022-2844,JOURNAL OF MOLECULAR EVOLUTION,A2,2021-2024
0022-2860,JOURNAL OF MOLECULAR STRUCTURE (PRINT),A2,2021-2024
0022-3042,JOURNAL OF NEUROCHEMISTRY,A2,2021-2024
0022-3077,JOURNAL OF NEUROPHYSIOLOGY,A4,2021-2024
0022-3239,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,A2,2021-2024
0022-3611,JOURNAL OF PHILOSOPHICAL LOGIC,A1,2021-2024
0022-4715,JOURNAL OF STATISTICAL PHYSICS,A2,2021-2024
0023-6438,LEBENSMITTEL-WISSENSCHAFT + TECHNOLOGIE / FOOD SCIENCE + TECHNOLOGY,A1,2021-2024
0024-3795,LINEAR ALGEBRA AND ITS APPLICATIONS,A2,2021-2024
0025-3154,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM (PRINT),B1,2021-2024
0025-5610,MATHEMATICAL PROGRAMMING,A1,2021-2024
0025-5718,MATHEMATICS OF COMPUTATION,A1,2021-2024
0025-584X,MATHEMATISCHE NACHRICHTEN,A3,2021-2024
0025-6196,MAYO CLINIC PROCEEDINGS,A1,2021-2024
0025-6455,MECCANICA (MILANO. PRINT),A3,2021-2024
0026-265X,MICROCHEMICAL JOURNAL (PRINT),A1,2021-2024
0026-2714,MICROELECTRONICS AND RELIABILITY,A4,2021-2024
0027-0520,MONTHLY REVIEW (NEW YORK. 1949),A3,2021-2024
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,A1,2021-2024
0028-0836,NATURE (LONDON),A1,2021-2024
0028-3045,NETWORKS,A4,2021-2024
0029-5493,NUCLEAR ENGINEERING AND DESIGN (PRINT),A1,2021-2024
0029-5981,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING (PRINT),A1,2021-2024
0029-599X,NUMERISCHE MATHEMATIK,A2,2021-2024
0029-8018,OCEAN ENGINEERING,A1,2021-2024
0029-8549,OECOLOGIA,A2,2021-2024
0030-364X,OPERATIONS RESEARCH,A3,2021-2024
0030-3887,OPSEARCH (DELHI),B1,2021-2024
0030-8730,PACIFIC JOURNAL OF MATHEMATICS,A3,2021-2024
0031-3203,PATTERN RECOGNITION,A1,2021-2024
0031-3998,PEDIATRIC RESEARCH,A1,2021-2024
0031-9155,PHYSICS IN MEDICINE AND BIOLOGY (PRINT),A2,2021-2024
0031-921X,THE PHYSICS TEACHER,A1,2021-2024
0031-9384,PHYSIOLOGY & BEHAVIOR,A2,2021-2024
0032-0935,PLANTA (HEIDELBERG,A1,2021-2024
0032-5791,POULTRY SCIENCE (PRINT),A1,2021-2024
0033-0124,THE PROFESSIONAL GEOGRAPHER,A2,2021-2024
0033-2097,PRZEGLAD ELEKTROTECHNICZNY,B3,2021-2024
0033-5177,QUALITY AND QUANTITY,A1,2021-2024
0034-4257,REMOTE SENSING OF ENVIRONMENT,A1,2021-2024
0034-6748,REVIEW OF SCIENTIFIC INSTRUMENTS,B1,2021-2024
0034-7167,REVISTA BRASILEIRA DE ENFERMAGEM,A2,2021-2024
0034-7175,REVISTA BRASILEIRA DE ESTATÍSTICA,B4,2021-2024
0034-9275,REVISTA DOS TRIBUNAIS (SÃO PAULO. IMPRESSO),A2,2021-2024
0035-8711,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY (PRINT),A2,2021-2024
0036-1429,SIAM JOURNAL ON NUMERICAL ANALYSIS (PRINT),A1,2021-2024
0037-5497,"SIMULATION (SAN DIEGO, CALIF.)",A4,2021-2024
0037-8712,BOLETIM DA SOCIEDADE PARANAENSE DE MATEMÁTICA,B2,2021-2024
0038-0121,SOCIO-ECONOMIC PLANNING SCIENCES,A1,2021-2024
0038-0644,"SOFTWARE, PRACTICE & EXPERIENCE (PRINT)",A2,2021-2024
0038-092X,SOLAR ENERGY,A1,2021-2024
0039-3215,STUDIA LOGICA,A2,2021-2024
0039-6265,SURVEY REVIEW,A4,2021-2024
