ISSN,Estrato
0001-0782,A1
0001-1452,A2
0001-3765,A3
0001-4966,A2
0001-5342,A4
0001-706X,A2
0001-8244,A2
0002-7863,A1
0002-9262,A1
0002-9394,A1
0002-953X,A1
0002-9890,B2
0002-9920,B2
0002-9939,A2
0003-2700,A1
0003-2719,A3
0003-4347,A3
0003-682X,A2
0003-6846,A1
0003-6870,A1
0003-6951,A2
0003-9969,A1
0003-9993,A1
0004-3702,A1
0005-1098,A1
0005-2736,A1
0006-2928,A3
0006-3398,B2
0006-3495,A2
0006-8314,A2
0007-070X,A1
0007-1013,A1
0007-1102,A1
0007-1285,A3
0008-4034,A3
0008-6363,A1
0009-2673,A3
0010-3616,A1
0010-4485,A3
0010-4620,A4
0010-4655,A1
0010-4825,A1
0010-485X,A1
0010-5236,A2
0012-1606,A4
0012-365X,A2
0012-7353,B1
0012-8252,A1
0012-9658,A1
0013-0915,A3
0013-4651,A2
0013-4686,A1
0013-5194,A4
0013-9351,A1
0016-0032,A2
0016-2361,A1
0016-5085,A1
0016-7312,A2
0016-8025,A2
0016-8033,A2
0017-5749,A1
0017-9310,A1
0018-9162,A3
0018-926X,A1
0018-9286,A1
0018-9316,A2
0018-9359,A2
0018-9383,A1
0018-9391,A2
0018-9448,A1
0018-9456,A1
0018-9464,A4
0018-9499,A2
0018-9529,A1
0018-9545,A1
0019-0578,A1
0020-0190,B2
0020-0255,A1
0020-1812,A3
0020-7179,A3
0020-739X,A2
0020-7543,A1
0020-7683,A1
0020-7721,A2
0021-7670,A2
0021-9010,A1
0021-9606,A2
0021-972X,A1
0021-9738,A1
0021-9991,A1
0022-0000,A3
0022-0302,A1
0022-0388,A1
0022-0396,A1
0022-0477,A1
0022-1120,A1
0022-1694,A1
0022-247X,A2
0022-2488,A3
0022-2828,A1
0022-2836,A1
0022-2844,A2
0022-2860,A2
0022-3042,A2
0022-3077,A4
0022-3239,A2
0022-3611,A1
0022-4715,A2
0023-6438,A1
0024-3795,A2
0025-3154,B1
0025-5610,A1
0025-5718,A1
0025-584X,A3
0025-6196,A1
0025-6455,A3
0026-265X,A1
0026-2714,A4
0027-0520,A3
0027-8424,A1
0028-0836,A1
0028-3045,A4
0029-5493,A1
0029-5981,A1
0029-599X,A2
0029-8018,A1
0029-8549,A2
0030-364X,A3
0030-3887,B1
0030-8730,A3
0031-3203,A1
0031-3998,A1
0031-9155,A2
0031-921X,A1
0031-9384,A2
0032-0935,A1
0032-5791,A1
0033-0124,A2
0033-2097,B3
0033-5177,A1
0034-4257,A1
0034-6748,B1
0034-7167,A2
0034-7175,B4
0034-9275,A2
0035-8711,A2
0036-1429,A1
0037-5497,A4
0037-8712,B2
0038-0121,A1
0038-0644,A2
0038-092X,A1
0039-3215,A2
0039-6265,A4
0039-9140,A1
0040-0262,A2
0040-1625,A1
0041-1655,A2
0041-624X,A2
0042-9686,A1
0043-1397,A1
0043-5325,A2
0043-7719,A1
0044-8435,A2
0044-8486,A1
0045-2068,A1
0045-6535,A1
0045-7825,A1
0045-7906,A2
0045-7930,A2
0045-7949,A1
0048-3575,A1
0048-9697,A1
0049-4747,A2
0066-782X,A2
0080-6234,A3
0090-6778,A1
0090-6964,A2
0091-2751,B1
0093-691X,A1
0094-5765,A2
0094-8276,A1
0094-9655,A4
0095-3628,A1
0095-4616,A2
0095-8956,A1
0096-3003,A1
0097-3165,A1
0097-8493,A2
0098-1354,A1
0098-3004,A1
0098-3063,A2
0098-5589,A1
0098-9886,A3
0099-1112,B2
0099-2399,A1
0100-8404,A4
0101-7438,B3
0101-8205,A2
0102-1788,A3
0102-2563,C
0102-3543,B3
0102-4248,B2
0102-4450,A1
0102-4698,A1
0102-5503,B1
0102-7158,A2
0102-7352,B3
0102-7972,A1
0103-0752,B1
0103-2070,A1
0103-2100,A2
0103-3786,A1
0103-4014,A1
0103-4308,B4
0103-5053,A3
0103-5355,B4
0103-8117,B3
0103-9059,B2
0103-9733,A3
0103-9989,A1
0104-0014,A3
0104-0588,A1
0104-3552,A4
0104-6276,A1
0104-639X,A3
0104-6500,A3
0104-6675,A1
0104-7078,B2
0105-4538,A1
0129-0541,B2
0129-0657,A1
0138-0680,A3
0138-9130,A1
0140-0118,A3
0140-3664,A1
0141-0296,A1
0141-8130,A1
0141-9331,A2
0141-9382,A2
0142-0615,A2
0142-5455,A1
0143-1161,A2
0143-2087,A2
0143-3334,A3
0144-8609,A1
0144-929X,A1
0146-4124,B4
0146-4833,A2
0147-8389,B1
0148-0731,B1
0148-5598,A1
0149-5739,A4
0160-5682,A1
0160-791X,A1
0162-8828,A1
0163-5808,B1
0163-5999,B4
0163-6804,A1
0164-0925,B1
0164-1212,A2
0165-0114,A1
0165-0327,A1
0165-0521,A4
0165-1684,A2
0165-1781,A1
0165-2125,A2
0165-5515,A1
0165-7380,A2
0166-218X,A2
0166-3542,A1
0166-3615,A1
0166-4328,A3
0166-445X,A1
0166-5316,A4
0166-6851,B1
0166-8641,A4
0167-2789,A1
0167-4048,A1
0167-577X,A1
0167-6377,B1
0167-6393,A2
0167-6423,A3
0167-6911,A2
0167-7012,A4
0167-7152,B1
0167-7322,A1
0167-739X,A1
0167-8191,A4
0167-8655,A1
0167-9236,A1
0167-9260,A4
0168-0072,A4
0168-1699,A1
0168-7433,A4
0168-9002,A4
0168-9274,A1
0169-023X,A3
0169-1864,A4
0169-2070,A1
0169-2607,A1
0169-3913,A3
0169-5983,A4
0169-7439,A1
0169-8141,A2
0170-4214,A1
0171-6468,A2
0171-8630,A2
0176-4268,A2
0177-0667,A1
0178-2789,A2
0178-4617,A4
0178-7675,A1
0179-051X,A1
0179-5376,A3
0191-2615,A1
0191-2917,A1
0192-8651,A1
0194-911X,A1
0195-0738,A2
0195-668X,A1
0195-6698,A2
0196-0709,A2
0196-2892,A1
0196-6553,A1
0196-8904,A1
0198-9715,A1
0199-6231,A3
0218-0014,B1
0218-1266,B1
0218-1940,B1
0218-2130,B2
0218-348X,A1
0218-4885,B1
0219-1377,A3
0219-3116,A3
0219-4678,B1
0219-4775,A2
0219-6492,A3
0219-7200,B2
0219-8770,A2
0223-5234,A1
0233-1888,A4
0233-1934,A2
0254-5330,A2
0258-851X,A4
0261-2194,A1
0262-8856,A2
0263-2241,A1
0263-5577,A1
0263-5747,A2
0263-8223,A1
0263-8762,A1
0264-410X,A1
0264-4401,A3
0264-8172,A1
0265-2323,A1
0265-671X,A3
0266-4720,A2
0266-4763,A3
0267-3649,A1
0267-4424,A1
0267-5730,A2
0268-3768,A2
0268-4012,A1
0269-2821,A1
0269-283X,A2
0269-4042,A1
0269-5022,A4
0269-7491,A1
0269-8889,A3
0270-1367,A2
0270-4137,A2
0270-6474,A1
0271-3683,A2
0271-5317,A1
0272-1716,A4
0272-1732,A2
0272-4960,A3
0272-4979,A1
0272-8842,A1
0273-1177,A2
0276-2374,B1
0277-6715,A1
0278-0046,A1
0278-0070,A2
0278-081X,A3
0278-3649,A1
0278-6125,A1
0288-3635,A2
0295-5075,A4
0300-3930,A1
0300-5771,A1
0300-7995,A2
0300-9084,A3
0300-9564,A2
0301-2115,A3
0301-4797,A1
0301-5629,A2
0301-679X,A1
0303-2434,A1
0303-2647,A2
0303-6898,A3
0303-6979,A1
0303-7207,A2
0303-8300,A1
0304-3800,A2
0304-3975,B1
0304-4017,A1
0304-4149,A2
0304-4238,A1
0304-8853,A3
0305-0270,A1
0305-0483,A1
0305-0548,A1
0305-1048,A1
0305-215X,A1
0306-2619,A1
0306-4379,A2
0306-4522,A2
0306-4565,A1
0306-4573,A1
0306-7734,A2
0307-904X,A1
0308-1079,A3
0308-1087,A1
0308-2105,A2
0308-521X,A1
0308-597X,A1
0308-8146,A1
0309-1740,A1
0315-5986,B1
0341-8162,A1
0343-2521,A2
0346-251X,A1
0360-0300,A1
0360-1277,A4
0360-1315,A1
0360-5442,A1
0360-8352,A1
0361-0918,A4
0361-1981,A4
0363-907X,C
0364-765X,A1
0364-9024,A3
0367-326X,A4
0370-1573,A1
0377-0257,A2
0377-0427,A2
0377-0486,A3
0377-2063,A4
0377-2217,A1
0378-1119,A4
0378-3774,A1
0378-4290,A1
0378-4320,A2
0378-4371,A2
0378-4754,A1
0378-7788,A1
0378-7796,A3
0385-7417,A1
0391-173X,A1
0393-2990,A1
0531-5565,A3
0560-4613,B2
0703-8992,A2
0716-3711,B4
0717-5000,B3
0717-6279,B1
0718-221X,A3
0718-2724,A4
0718-378X,B3
0718-5162,A1
0719-0646,B1
0720-048X,A2
0730-0301,A1
0730-725X,A3
0733-8716,A1
0733-8724,A1
0733-9429,A3
0733-9453,A4
0734-2071,A3
0735-6757,A1
0736-5853,A1
0737-8831,A1
0739-1102,A2
0740-624X,A1
0740-7459,A3
0740-8188,A2
0743-7315,A1
0747-5632,A1
0748-8157,B1
0749-159X,A2
0749-3797,A1
0804-4643,A2
0812-0099,A4
0824-7935,A1
0840-8688,A4
0873-1152,B3
0873-5670,A3
0883-2323,A3
0883-9514,A3
0884-6812,B3
0884-8173,C
0885-2308,A1
0885-2545,A3
0885-4513,A3
0885-6125,A1
0885-7458,A3
0885-7474,A1
0885-8624,A1
0885-8950,A1
0885-8977,A2
0885-8985,A1
0885-8993,A1
0886-3350,A1
0887-3585,A3
0887-3828,A3
0888-3270,A1
0888-613X,A1
0888-7543,A2
0889-1575,A2
0890-5401,B1
0890-8044,A1
0891-2556,B1
0892-1997,A1
0893-6080,A1
0895-4801,A2
0895-6111,A1
0895-8696,A4
0895-9811,A2
0896-0267,A3
0896-6273,A1
0897-1889,A2
0898-1221,A1
0903-1936,A1
0904-2512,A1
0911-0119,B1
0916-8508,B3
0918-8959,B1
0920-4105,A1
0920-5489,A1
0920-5691,A1
0920-654X,A2
0920-8542,A2
0920-9964,A2
0921-0296,A2
0921-4488,A2
0921-7126,B2
0921-8890,A1
0922-6443,A4
0922-6567,B1
0923-2508,B1
0923-5965,A2
0923-8174,B2
0924-090X,A1
0924-1868,A1
0924-2716,A1
0924-669X,A3
0924-8463,A1
0924-9338,A1
0924-977X,A1
0924-9907,A1
0925-1022,A1
0925-1030,A4
0925-2312,A1
0925-4005,A1
0925-4439,A1
0925-5001,A2
0925-7535,A1
0925-7721,A4
0925-8531,A1
0925-9724,A2
0925-9902,A2
0926-227X,B1
0926-2644,A1
0926-6003,A2
