Sigla,Nome do evento,Estrato,quadrienio
AAAI,AAAI Conference on Artificial Intelligence,A1,2021-2024
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,A1,2021-2024
ACCV,Asian Conference on Computer Vision,A1,2021-2024
ACII,International Conference on Affective Computing and Intelligent Interaction,A2,2021-2024
ACISP,Australasian Conference on Information Security and Privacy,A4,2021-2024
ACL,Annual Meeting of the Association for Computational Linguistics,A1,2021-2024
ACMIDC,ACM Internacional Conference on Interaction Design and Children,A2,2021-2024
ACMIMX,ACM International Conference on Interactive Media Experiences,A3,2021-2024
ACMMM,ACM International Conference on Multimedia,A1,2021-2024
ACNS,Applied Cryptography and Network Security,A2,2021-2024
ACSOS,IEEE International Conference on Autonomic Computing and Self-Organizing Systems,A4,2021-2024
ADBIS,East European Conference on Advances in Databases and Information Systems,A3,2021-2024
ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,B4,2021-2024
AI,Canadian Conference on Artificial Intelligence,A3,2021-2024
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,A4,2021-2024
AICT,International Conference on Application of Information and Communication Technologies,A4,2021-2024
AIDKE,"IEEE International Conference on Artificial Intelligence, Data and Knowledge Engineering",A4,2021-2024
AIED,International Conference on Artificial Intelligence in Education,A2,2021-2024
AIES,"AAAI/ACM Conference on AI, Ethics, and Society",A1,2021-2024
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,A3,2021-2024
AIME,Conference on Artificial Intelligence in Medicine,A3,2021-2024
AINA,IEEE International Conference on Advanced Information Networking and Applications,A3,2021-2024
AISTATS,International Conference on Artificial Intelligence and Statistics,A1,2021-2024
AIWARE,ACM International Conference on AI-Powered Software,B3,2021-2024
AlCoB,International Conference on Algorithms for Computational Biology,B2,2021-2024
ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,B4,2021-2024
AMCIS,Americas Conference on Information Systems,A2,2021-2024
ANT,"International Conference on Ambient Systems, Networks and Technologies",B4,2021-2024
ARC,International Symposium on Applied Reconfigurable Computing,B1,2021-2024
ARCS,International Conference on Architecture of Computing Systems,B3,2021-2024
ARES,"International Conference on Availability, Reliability and Security",A2,2021-2024
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",A3,2021-2024
ASE,IEEE/ACM International Conference on Automated Software Engineering,A1,2021-2024
ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,A1,2021-2024
ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,A2,2021-2024
ASP-DAC,Asia and South Pacific Design Automation Conference,A1,2021-2024
AST,IEEE/ACM International Workshop on Automation of Software Testing,B4,2021-2024
ATC,USENIX Annual Technical Conference,A1,2021-2024
ATT,International Workshop on Agents in Traffic and Transportation,B4,2021-2024
AUDIOMOSTLY,Audio Mostly Conference,A4,2021-2024
BCCA,International Conference on Blockchain Computing and Applications,B2,2021-2024
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",B2,2021-2024
BDCLOUD,International Conference on Big Data and Cloud Computing,B4,2021-2024
BESC,"International Conference on Behavior, Economic and Social Computing",B3,2021-2024
BIBE,IEEE International Conference on BioInformatics and BioEngineering,A3,2021-2024
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,A3,2021-2024
BIGCOMP,International Conference on Big Data and Smart Computing,A2,2021-2024
BIGDATA,IEEE International Conference on Big Data,A1,2021-2024
BIGMM,IEEE International Conference on Multimedia Big Data,A3,2021-2024
BIOCOMP-WC,International Conference on Bioinformatics & Computational Biology,B4,2021-2024
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,A3,2021-2024
BLOCKCHAIN,IEEE International Conference on Blockchain,A1,2021-2024
BMSB,IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,B1,2021-2024
BMSD,International Business Modeling and Software Design Symposium,B1,2021-2024
BMVC,British Machine Vision Conference,A1,2021-2024
BPM,International Conference on Business Process Management,A2,2021-2024
BPMS2,Workshop on Social and Human Aspects of Business Process Management,B4,2021-2024
BRACIS,Brazilian Conference on Intelligent Systems,A3,2021-2024
BRASERO,Brazilian Workshop on Service Robotics,B4,2021-2024
BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,B1,2021-2024
BRESCI,Brazilian e-Science Workshop,B4,2021-2024
BSB,Brazilian Symposium on Bioinformatics,B1,2021-2024
BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,A3,2021-2024
BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",A2,2021-2024
BWAIF,Brazilian Workshop on Artificial Intelligence in Finance,B4,2021-2024
CADE,International Conference on Automated Deduction,A3,2021-2024
CAIN,International Conference on AI Engineering – Software Engineering for AI,A4,2021-2024
CAIP,International Conference on Computer Analysis of Images and Patterns,A3,2021-2024
CAISE,International Conference on Advanced Information Systems Engineering,A2,2021-2024
CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,B2,2021-2024
CANDAR,International Symposium on Computing and Networking,B1,2021-2024
CANS,International Conference on Cryptology and Network Security,A4,2021-2024
CASCON,Annual International Conference on Computer Science and Software Engineering,A3,2021-2024
CASE,IEEE Conference on Automation Science and Engineering,A2,2021-2024
CATA,International Conference on Computers and their Applications,B4,2021-2024
CAV,International Conference on Computer Aided Verification,A1,2021-2024
CBA,Congresso Brasileiro de Automática,B3,2021-2024
CBI,IEEE Conference on Business Informatics,A3,2021-2024
CBIC,Congresso Brasileiro de Inteligência Computacional,B4,2021-2024
CBIS,Congresso Brasileiro de Informática em Saúde,B4,2021-2024
CBMI,International Workshop on Content-Based Multimedia Indexing,A4,2021-2024
CBMS,International Symposium on Computer-Based Medical Systems,A2,2021-2024
CC,International Conference on Compiler Construction,A3,2021-2024
CCC,IEEE Conference on Computational Complexity,A3,2021-2024
CCCG,Canadian Conference on Computational Geometry,B3,2021-2024
CCECE,Canadian Conference on Electrical and Computer Engineering,A2,2021-2024
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",A2,2021-2024
CCNC,Annual IEEE Consumer Communications & Networking Conference,A2,2021-2024
CCS,ACM Symposium on Computer and Communications Security,A1,2021-2024
CDC,IEEE Conference on Decision and Control,A1,2021-2024
CEC,IEEE Congress on Evolutionary Computation,A1,2021-2024
CF,ACM International Conference on Computing Frontiers,A3,2021-2024
CGI,Computer Graphics International Conference,B1,2021-2024
CGO,International Symposium on Code Generation and Optimization,A2,2021-2024
CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,A4,2021-2024
CHI,ACM Conference on Human Factors in Computing Systems,A1,2021-2024
CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,A2,2021-2024
CIAC,International Conference on Algorithms and Complexity,B4,2021-2024
CIARP,Iberoamerican Congress on Pattern Recognition,A4,2021-2024
CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,A3,2021-2024
CIbSE,Conferencia Iberoamericana de Software Engineering,B1,2021-2024
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,B4,2021-2024
CIDI,Congresso Internacional de Design da Informação,B4,2021-2024
CIKM,ACM International Conference on Information and Knowledge Management,A1,2021-2024
CILAMCE,Iberian Latin American Congress on Computational Methods,B4,2021-2024
CISTI,Iberian Conference on Information Systems and Technologies,A3,2021-2024
CIT,IEEE International Conference on Information Technology,A2,2021-2024
CLAIO,Latin-Ibero-American Conference on Operations Research,B4,2021-2024
CLEF,Conference and Labs of the Evaluation Forum,A4,2021-2024
CLEI,Conferencia Latinoamericana de Informática,B2,2021-2024
CLIHC,Latin American Conference on Human Computer Interaction,B3,2021-2024
CLOSER,International Conference on Cloud Computing and Services Science,A3,2021-2024
CLOUD,IEEE International Conference on Cloud Computing,A2,2021-2024
CLOUDCOM,IEEE International Conference on Cloud Computing Technology and Science,B1,2021-2024
CLOUDNET,IEEE International Conference on Cloud Networking,A4,2021-2024
CLUSTER,IEEE International Conference on Cluster Computing,A3,2021-2024
CMMR,International Symposium on Computer Music Multidisciplinary Research,B2,2021-2024
CMN,Congress on Numerical Methods in Engineering,B4,2021-2024
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,B4,2021-2024
CNSM,International Conference on Network and Service Management,A3,2021-2024
COCOA,International Conference on Combinatorial Optimization and Applications,B2,2021-2024
COCOON,International Computing and Combinatorics Conference,B2,2021-2024
COG,Conference on Games,A2,2021-2024
COLING,International Conference on Computational Linguistics,A1,2021-2024
